题目_高中,二项式定理特殊情况展开式系数组合数,代数 - 二项式定理 - 特殊情况,二项式定理在特殊情况下的应用。例题：计算 \( (1 + x)^4 \) 的展开式中 \( x^2 \) 的系数。解答：系数为 \( \binom{4}{2} = 6 \)。,\( (1 + x)^n = \sum_{k=0}^{n} \binom{n}{k} x^k \)
题目_高中,二项式定理近似计算例题解答,代数 - 二项式定理 - 近似计算,二项式定理用于近似计算。例题：近似计算 \( (1.02)^5 \)。解答：取前两项 \( 1 + 5 \cdot 0.02 = 1.1 \)。,\( (1 + x)^n \approx 1 + nx \)（当 \( |x| \) 很小时）
题目_高中,二项式定理组合数性质二项式系数例题计算组合数性质解答公式,代数 - 二项式定理 - 组合数性质,二项式系数的性质。例题：计算 \( \binom{5}{2} + \binom{5}{3} \)。解答：\( \binom{5}{2} + \binom{5}{3} = 10 + 10 = 20 \)，符合 \( \binom{n}{k} + \binom{n}{k+1} = \binom{n+1}{k+1} \)。,\( \binom{n}{k} + \binom{n}{k+1} = \binom{n+1}{k+1} \)
题目_高中,二项式定理对称性二项式系数例题计算组合数等式,代数 - 二项式定理 - 对称性,二项式系数的对称性。例题：计算 \( \binom{6}{2} \) 和 \( \binom{6}{4} \)。解答：\( \binom{6}{2} = 15 \)，\( \binom{6}{4} = 15 \)，符合 \( \binom{n}{k} = \binom{n}{n-k} \)。,\( \binom{n}{k} = \binom{n}{n-k} \)
题目_高中,二项式定理求和公式二项式系数例题计算组合数求和解答幂运算,代数 - 二项式定理 - 求和公式,二项式系数的求和公式。例题：计算 \( \sum_{k=0}^{5} \binom{5}{k} \)。解答：\( \sum_{k=0}^{5} \binom{5}{k} = 2^5 = 32 \)。,\( \sum_{k=0}^{n} \binom{n}{k} = 2^n \)
题目_高中,二项式定理奇偶性二项式系数例题组合数奇数,代数 - 二项式定理 - 奇偶性,二项式系数的奇偶性。例题：判断 \( \binom{7}{3} \) 的奇偶性。解答：\( \binom{7}{3} = 35 \)，为奇数。,
题目_高中,二项式定理最大值二项式系数展开式,代数 - 二项式定理 - 最大值,二项式系数的最大值。例题：在 \( (a + b)^8 \) 的展开式中，哪个二项式系数最大？解答：最大值为 \( \binom{8}{4} = 70 \)。,当 \( n \) 为偶数时，最大值为 \( \binom{n}{n/2} \)；当 \( n \) 为奇数时，最大值为 \( \binom{n}{(n-1)/2} \) 和 \( \binom{n}{(n+1)/2} \)
题目_高中,二项式定理概率论抛硬币概率组合数例题解答,代数 - 二项式定理 - 应用,二项式定理在概率论中的应用。例题：抛一枚硬币 5 次，恰好出现 3 次正面的概率是多少？解答：\( \binom{5}{3} \left(\frac{1}{2}\right)^3 \left(\frac{1}{2}\right)^2 = \frac{10}{32} = \frac{5}{16} \)。,\( P(X = k) = \binom{n}{k} p^k (1-p)^{n-k} \)
题目_高中,一元一次方程标准形式解法隔离等式例题解答,解方程 - 一元一次方程,一元一次方程的标准形式为 \( ax + b = 0 \)，其中 \( a \neq 0 \)。解法是将 \( x \) 隔离在等式的一边。例题：解方程 \( 3x - 7 = 11 \)。解答：\( 3x = 18 \)，\( x = 6 \)。,\( ax + b = 0 \) 的解为 \( x = -\frac{b}{a} \)
题目_高中,一元二次方程标准形式因式分解配方法求根公式例题解答,解方程 - 一元二次方程,一元二次方程的标准形式为 \( ax^2 + bx + c = 0 \)，其中 \( a \neq 0 \)。解法包括因式分解、配方法、求根公式等。例题：解方程 \( x^2 - 5x + 6 = 0 \)。解答：因式分解得 \( (x - 2)(x - 3) = 0 \)，所以 \( x = 2 \) 或 \( x = 3 \)。,\( ax^2 + bx + c = 0 \) 的解为 \( x = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a} \)
题目_高中,一元高次方程标准形式因式分解有理根定理综合除法例题解答,解方程 - 一元高次方程,一元高次方程的标准形式为 \( a_n x^n + a_{n-1} x^{n-1} + \cdots + a_1 x + a_0 = 0 \)。解法包括因式分解、使用有理根定理、使用综合除法等。例题：解方程 \( x^3 - 6x^2 + 11x - 6 = 0 \)。解答：因式分解得 \( (x - 1)(x - 2)(x - 3) = 0 \)，所以 \( x = 1 \)，\( x = 2 \)，\( x = 3 \)。,
题目_高中,二元一次方程组标准形式代入法消元法矩阵法例题解答,解方程 - 二元一次方程组,二元一次方程组的标准形式为 \( \begin{cases} a_1 x + b_1 y = c_1 \\ a_2 x + b_2 y = c_2 \end{cases} \)。解法包括代入法、消元法、矩阵法等。例题：解方程组 \( \begin{cases} 2x + 3y = 8 \\ x - y = 1 \end{cases} \)。解答：从第二个方程解得 \( x = y + 1 \)，代入第一个方程得 \( 2(y + 1) + 3y = 8 \)，解得 \( y = 1 \)，进而 \( x = 2 \)。,
题目_高中,二元二次方程组标准形式代入法消元法二次方程解法例题解答,解方程 - 二元二次方程组,二元二次方程组的标准形式为 \( \begin{cases} a_1 x^2 + b_1 xy + c_1 y^2 + d_1 x + e_1 y + f_1 = 0 \\ a_2 x^2 + b_2 xy + c_2 y^2 + d_2 x + e_2 y + f_2 = 0 \end{cases} \)。解法包括代入法、消元法、使用二次方程的解法等。例题：解方程组 \( \begin{cases} x^2 + y^2 = 25 \\ x + y = 7 \end{cases} \)。解答：从第二个方程解得 \( y = 7 - x \)，代入第一个方程得 \( x^2 + (7 - x)^2 = 25 \)，解得 \( x = 3 \) 或 \( x = 4 \)，进而 \( y = 4 \) 或 \( y = 3 \)。,
题目_高中,分式方程标准形式交叉相乘化简分式解整式方程例题解答,解方程 - 分式方程,分式方程的标准形式为 \( \frac{A(x)}{B(x)} = \frac{C(x)}{D(x)} \)。解法包括交叉相乘、化简分式、解整式方程等。例题：解方程 \( \frac{2x + 1}{x - 3} = \frac{x + 2}{x - 1} \)。解答：交叉相乘得 \( (2x + 1)(x - 1) = (x + 2)(x - 3) \)，解得 \( x = 5 \)。,
题目_高中,无理方程标准形式解法两边平方化简解整式方程例题解答,解方程 - 无理方程,无理方程的标准形式为 \( \sqrt{A(x)} = B(x) \)。解法包括两边平方、化简、解整式方程等。例题：解方程 \( \sqrt{x + 3} = x - 1 \)。解答：两边平方得 \( x + 3 = (x - 1)^2 \)，解得 \( x = 4 \)。,
题目_高中,绝对值方程标准形式解法绝对值的定义解方程例题解答两种情况,解方程 - 绝对值方程,绝对值方程的标准形式为 \( |A(x)| = B(x) \)。解法包括考虑绝对值的定义、解两个方程等。例题：解方程 \( |2x - 3| = 5 \)。解答：考虑两种情况 \( 2x - 3 = 5 \) 和 \( 2x - 3 = -5 \)，解得 \( x = 4 \) 或 \( x = -1 \)。,
题目_高中,指数方程标准形式取对数化简解整式方程例题解答,解方程 - 指数方程,指数方程的标准形式为 \( a^{A(x)} = b^{B(x)} \)。解法包括取对数、化简、解整式方程等。例题：解方程 \( 2^{x+1} = 8^{x-1} \)。解答：取对数得 \( (x + 1) \ln 2 = (x - 1) \ln 8 \)，解得 \( x = 2 \)。,
题目_高中,对数方程标准形式解法对数性质化简整式方程例题解答,解方程 - 对数方程,对数方程的标准形式为 \( \log_{a} A(x) = \log_{a} B(x) \)。解法包括使用对数的性质、化简、解整式方程等。例题：解方程 \( \log_{2} (x + 3) = \log_{2} (2x - 1) \)。解答：使用对数的性质得 \( x + 3 = 2x - 1 \)，解得 \( x = 4 \)。,
题目_高中,三角方程标准形式sincos三角恒等式角度例题解方程π整数,解方程 - 三角方程,三角方程的标准形式为 \( \sin A(x) = B \) 或 \( \cos A(x) = B \) 等。解法包括使用三角恒等式、求解角度等。例题：解方程 \( \sin x = \frac{1}{2} \)。解答：\( x = \frac{\pi}{6} + 2k\pi \) 或 \( x = \frac{5\pi}{6} + 2k\pi \)，其中 \( k \) 为整数。,
题目_高中,参数方程标准形式消去参数求解关系例题解答,解方程 - 参数方程,参数方程的标准形式为 \( \begin{cases} x = f(t) \\ y = g(t) \end{cases} \)。解法包括消去参数 \( t \)、求解 \( x \) 和 \( y \) 的关系等。例题：解参数方程 \( \begin{cases} x = t^2 \\ y = 2t \end{cases} \)。解答：消去参数 \( t \) 得 \( y^2 = 4x \)。,
题目_高中,不等式标准形式移项化简解法例题解答,解方程 - 不等式,"不等式的标准形式为 \( ax + b > 0 \)（或 \( <, \geq, \leq \)）。解法包括移项、化简等。例题：解不等式 \( 2x - 3 > 5 \)。解答：\( 2x > 8 \)，\( x > 4 \)。",
题目_高中,一元二次不等式标准形式求根分析区间例题不等式解答根,解方程 - 一元二次不等式,"一元二次不等式的标准形式为 \( ax^2 + bx + c > 0 \)（或 \( <, \geq, \leq \)）。解法包括求根、分析区间等。例题：解不等式 \( x^2 - 5x + 6 > 0 \)。解答：根为 \( x = 2 \) 和 \( x = 3 \)，不等式在 \( x < 2 \) 或 \( x > 3 \) 时成立。",
题目_高中,绝对值不等式标准形式解法绝对值定义解不等式例题解答两种情况,解方程 - 绝对值不等式,"绝对值不等式的标准形式为 \( |A(x)| > B \)（或 \( <, \geq, \leq \)）。解法包括考虑绝对值的定义、解两个不等式等。例题：解不等式 \( |2x - 3| > 5 \)。解答：考虑两种情况 \( 2x - 3 > 5 \) 和 \( 2x - 3 < -5 \)，解得 \( x > 4 \) 或 \( x < -1 \)。",
题目_高中,分式不等式标准形式分子分母符号区间临界点解不等式,解方程 - 分式不等式,"分式不等式的标准形式为 \( \frac{A(x)}{B(x)} > 0 \)（或 \( <, \geq, \leq \)）。解法包括确定分子和分母的符号、分析区间等。例题：解不等式 \( \frac{x - 2}{x + 1} > 0 \)。解答：临界点为 \( x = 2 \) 和 \( x = -1 \)，不等式在 \( x > 2 \) 或 \( x < -1 \) 时成立。",
题目_高中,无理不等式标准形式解法两边平方化简解整式不等式例题解答,解方程 - 无理不等式,"无理不等式的标准形式为 \( \sqrt{A(x)} > B(x) \)（或 \( <, \geq, \leq \)）。解法包括两边平方、化简、解整式不等式等。例题：解不等式 \( \sqrt{x + 3} > x - 1 \)。解答：两边平方得 \( x + 3 > (x - 1)^2 \)，解得 \( -1 < x < 4 \)。",
题目_高中,指数不等式标准形式解法取对数化简整式不等式例题解答,解方程 - 指数不等式,指数不等式的标准形式为 \( a^{A(x)} > b^{B(x)} \)。解法包括取对数、化简、解整式不等式等。例题：解不等式 \( 2^{x+1} > 8^{x-1} \)。解答：取对数得 \( (x + 1) \ln 2 > (x - 1) \ln 8 \)，解得 \( x < 2 \)。,
题目_高中,对数不等式标准形式对数性质化简整式不等式例题解答,解方程 - 对数不等式,对数不等式的标准形式为 \( \log_{a} A(x) > \log_{a} B(x) \)。解法包括使用对数的性质、化简、解整式不等式等。例题：解不等式 \( \log_{2} (x + 3) > \log_{2} (2x - 1) \)。解答：使用对数的性质得 \( x + 3 > 2x - 1 \)，解得 \( x < 4 \)。,
题目_高中,解方程三角不等式标准形式三角函数性质角度范围例题不等式解答整数,解方程 - 三角不等式,三角不等式的标准形式为 \( \sin A(x) > B \) 或 \( \cos A(x) > B \) 等。解法包括使用三角函数的性质、求解角度范围等。例题：解不等式 \( \sin x > \frac{1}{2} \)。解答：\( \frac{\pi}{6} + 2k\pi < x < \frac{5\pi}{6} + 2k\pi \)，其中 \( k \) 为整数。,
题目_高中,参数方程不等式消去参数求解关系例题解答,解方程 - 参数方程的不等式,参数方程的不等式形式为 \( \begin{cases} x = f(t) \\ y = g(t) \end{cases} \) 且 \( h(t) > 0 \)。解法包括消去参数 \( t \)、求解 \( x \) 和 \( y \) 的关系等。例题：解参数方程 \( \begin{cases} x = t^2 \\ y = 2t \end{cases} \) 且 \( t > 1 \)。解答：消去参数 \( t \) 得 \( y^2 = 4x \) 且 \( x > 1 \)。,
题目_高中,解方程多项式方程根的性质韦达定理根的和根的积,解方程 - 多项式方程的根的性质,多项式方程的根的性质，如韦达定理。例题：对于方程 \( x^2 - 5x + 6 = 0 \)，根的和为 \( 5 \)，根的积为 \( 6 \)。解答：根为 \( x = 2 \) 和 \( x = 3 \)，满足 \( 2 + 3 = 5 \) 和 \( 2 \times 3 = 6 \)。,韦达定理：根的和 \( -\frac{b}{a} \)，根的积 \( \frac{c}{a} \)
题目_高中,有理方程标准形式分式整式方程化简解方程例题解答,解方程 - 有理方程,有理方程的标准形式为 \( \frac{P(x)}{Q(x)} = 0 \)。解法包括化简分式、解整式方程等。例题：解方程 \( \frac{x^2 - 4}{x - 2} = 0 \)。解答：化简得 \( x + 2 = 0 \)，解得 \( x = -2 \)。,
题目_高中,解方程有理不等式标准形式分子分母符号区间例题临界点,解方程 - 有理不等式,有理不等式的标准形式为 \( \frac{P(x)}{Q(x)} > 0 \)。解法包括确定分子和分母的符号、分析区间等。例题：解不等式 \( \frac{x^2 - 4}{x - 2} > 0 \)。解答：临界点为 \( x = -2 \) 和 \( x = 2 \)，不等式在 \( x < -2 \) 或 \( x > 2 \) 时成立。,
题目_高中,解方程三角方程周期性sin例题解答整数,解方程 - 三角方程的周期性,三角方程的周期性，如 \( \sin x = \sin (x + 2k\pi) \)。例题：解方程 \( \sin x = \frac{1}{2} \)。解答：\( x = \frac{\pi}{6} + 2k\pi \) 或 \( x = \frac{5\pi}{6} + 2k\pi \)，其中 \( k \) 为整数。,
题目_高中,解方程三角方程和差化积公式例题解答sincos整数,解方程 - 三角方程的和差化积,三角方程的和差化积公式。例题：解方程 \( \sin x + \sin 2x = 0 \)。解答：使用和差化积公式 \( 2 \sin \frac{3x}{2} \cos \frac{x}{2} = 0 \)，解得 \( x = \frac{2k\pi}{3} \) 或 \( x = (2k+1)\pi \)，其中 \( k \) 为整数。,和差化积公式：\( \sin A + \sin B = 2 \sin \frac{A+B}{2} \cos \frac{A-B}{2} \)
题目_高中,解方程三角方程积化和差公式例题解答整数,解方程 - 三角方程的积化和差,三角方程的积化和差公式。例题：解方程 \( \sin x \cos 2x = 0 \)。解答：使用积化和差公式 \( \frac{1}{2} [\sin 3x + \sin (-x)] = 0 \)，解得 \( x = k\pi \) 或 \( x = \frac{(2k+1)\pi}{3} \)，其中 \( k \) 为整数。,积化和差公式：\( \sin A \cos B = \frac{1}{2} [\sin (A+B) + \sin (A-B)] \)
题目_竞赛,三角函数二次不等式综合问题不等式恒成立取值范围二次函数判别式三角函数性质,三角函数与二次不等式综合问题,"已知当 \(x \in [0,1]\) 时，不等式 \(x^2 \cosθ - x(1-x) + (1-x)^2 \sinθ > 0\) 恒成立，求 \(θ\) 的取值范围。需结合二次函数判别式与三角函数性质分析。",判别式条件：\(\Delta = 1 - 2\sin2θ < 0\)
题目_竞赛,数列函数最值求和变形均值不等式函数极值分析,数列与函数最值问题,设 \(S_n = 1+2+\dots+n\)，求 \(f(n) = \frac{S_n}{(n+3)\sqrt{n+1}}\) 的最大值。需通过变形结合均值不等式或函数极值分析。,极值点分析：\(f(n) = \frac{n(n+1)}{2(n+3)\sqrt{n+1}}\)
题目_竞赛,多元条件极值问题自然数求和最小值对称条件柯西不等式,多元条件极值问题,设 \(x_i \in \mathbb{N}^*\) 且 \(\sum_{j<k} \frac{x_j x_k}{x_j + x_k} = \frac{n(n-1)}{2}\)，求 \(\sum_{i=1}^n x_i\) 的最小值。需构造对称条件并应用柯西不等式。,最小值推导：\(\sum x_i \geq n\)
题目_竞赛,二次函数对称性对称轴区间约束最大值极值区间平移,二次函数综合应用,"已知二次函数 \(f(x) = ax^2 + bx + c\) 满足对称性 \(f(x-4) = f(2-x)\)，且在区间约束下求最大 \(m >1\)，使得存在 \(t\) 满足 \(x \in [1,m]\) 时 \(f(x+t) \leq x\)。需分析函数对称轴、极值及区间平移性质。",对称轴条件：\(x = -1\)
题目_竞赛,多项式根参数关系三次方程实根极值分析根与系数关系,多项式根与参数关系,"设三次方程 \(f(x) = x^3 + ax^2 + bx + c\) 有三个实根 \(x_1, x_2, x_3\)，满足 \(x_2 - x_1 = λ\) 且 \(x_3 > \frac{x_1 + x_2}{2}\)，求 \(\frac{2a^3 + 27c - 9ab}{λ^3}\) 的最大值。需利用多项式根与系数关系及极值分析。",最大值结果：\(\frac{4}{27}\)
题目_竞赛,数列存在性收敛性证明递推关系多项式方程根的唯一性单调性分析,数列存在性与收敛性证明,证明当且仅当 \(a = 2\) 时，存在数列 \(\{a_n\}\) 满足递推 \(a_{n+1} = a_n^3 - 3a_n\)，且极限存在。需结合多项式方程根的唯一性和单调性分析。,递推条件：\(a_{n+1} = a_n^3 - 3a_n\)
题目_竞赛,函数构造偶函数傅里叶展开函数基底分解周期性三角函数正弦函数余弦函数傅里叶级数谐波分析,新定义函数构造问题,设 \(f(x)\) 满足 \(f(x+2π) = f(x)\)，证明存在四个偶函数 \(f_i(x)\) 满足 \(f(x) = f_1(x) + f_2(x)\cos x + f_3(x)\sin x + f_4(x)\sin2x\)。需通过傅里叶展开或函数基底分解实现。,构造方法：偶函数基底展开
题目_竞赛,不等式证明优化正数对称代换不等式放缩函数最小值,不等式证明与优化,"求正数 \(a, b, c, x, y, z\) 满足 \(cy + bz = a, az + cx = b, bx + ay = c\) 时，函数 \(f(x,y,z) = \sum \frac{x^2}{1+x}\) 的最小值。需通过对称代换和不等式放缩。",最小值结果：\(\frac{3}{4}\)
题目_竞赛,多项式因式分解根多项式实数根根与系数关系关系式,多项式因式分解与根的关系,"设多项式 \(P(x) = x^3 + ax^2 + bx + c\) 有三个实数根 \(x_1, x_2, x_3\)，且满足 \(x_1 + x_2 + x_3 = 0\)，求 \(a, b, c\) 的关系式。需利用多项式根与系数的关系。",根与系数关系：\(x_1 + x_2 + x_3 = -a\)
题目_竞赛,函数方程求解函数表达式性质待定系数法,函数方程求解,已知函数 \(f(x)\) 满足 \(f(x+y) = f(x) + f(y) + 2xy\)，求 \(f(x)\) 的表达式。需通过函数方程的性质和待定系数法求解。,函数方程解：\(f(x) = x^2 + kx\)
题目_竞赛,不等式优化变量条件最小值不等式放缩对称性分析,不等式优化问题,"设 \(a, b, c > 0\) 且 \(a + b + c = 1\)，求 \(f(a, b, c) = \frac{a}{1+b} + \frac{b}{1+c} + \frac{c}{1+a}\) 的最小值。需通过不等式放缩和对称性分析。",最小值结果：\(\frac{3}{4}\)
题目_竞赛,数列递推关系极限单调有界定理极限性质,数列递推与极限,设数列 \(\{a_n\}\) 满足递推关系 \(a_{n+1} = \sqrt{a_n + 2}\)，且 \(a_1 = 1\)，求 \(\lim_{n \to \infty} a_n\)。需通过单调有界定理和极限性质分析。,极限值：\(\lim_{n \to \infty} a_n = 2\)
题目_竞赛,复数方程求解复数周期性复数运算复数方程,复数与方程求解,设复数 \(z\) 满足 \(z^2 + z + 1 = 0\)，求 \(z^{2023} + \frac{1}{z^{2023}}\) 的值。需利用复数的周期性性质。,复数周期性：\(z^3 = 1\)
题目_竞赛,不等式函数极值变量约束最大值不等式放缩对称性分析,不等式与函数极值,"设 \(x, y, z > 0\) 且 \(x + y + z = 1\)，求 \(f(x, y, z) = \frac{x}{1+y} + \frac{y}{1+z} + \frac{z}{1+x}\) 的最大值。需通过不等式放缩和对称性分析。",最大值结果：\(\frac{3}{4}\)
题目_竞赛,多项式根不等式实数根关系式系数韦达定理,多项式根与不等式,"设多项式 \(P(x) = x^3 + ax^2 + bx + c\) 有三个实数根 \(x_1, x_2, x_3\)，且满足 \(x_1^2 + x_2^2 + x_3^2 = 1\)，求 \(a, b, c\) 的关系式。需利用多项式根与系数的关系。",根与系数关系：\(x_1^2 + x_2^2 + x_3^2 = (x_1 + x_2 + x_3)^2 - 2(x_1x_2 + x_2x_3 + x_3x_1)\)
题目_竞赛,函数方程不等式函数表达式性质约束求解,函数方程与不等式,已知函数 \(f(x)\) 满足 \(f(x+y) = f(x) + f(y) + 2xy\)，且 \(f(x) \geq 0\) 对所有 \(x\) 成立，求 \(f(x)\) 的表达式。需通过函数方程的性质和不等式约束求解。,函数方程解：\(f(x) = x^2 + kx\)
知识点_小学,数量关系数学表达式甲乙,数量关系的表达,用数学表达式表示数量之间的关系，如 \( 甲 = 乙 + 5 \) ,
知识点_小学,正比例关系比值保持不变\(y=kx\),正比例关系,两个量之间的比值保持不变，如 \( y = kx \) ,\( y = kx \)
知识点_小学,反比例关系乘积保持不变\(y=\frac{k}{x}\),反比例关系,两个量的乘积保持不变，如 \( y = \frac{k}{x} \) ,\( y = \frac{k}{x} \)
知识点_小学,加法交换律加数交换位置和不变,加法交换律,两个加数交换位置，和不变,\( a + b = b + a \)
知识点_小学,加法结合律三个数相加前两个数相加后两个数相加和不变,加法结合律,三个数相加，先把前两个数相加，或者先把后两个数相加，和不变,\( (a + b) + c = a + (b + c) \)
知识点_小学,乘法交换律两个数相乘乘数位置积不变,乘法交换律,两个数相乘，交换乘数的位置，积不变,\( a \times b = b \times a \)
知识点_小学,乘法结合律三个数相乘前两个数相乘后两个数相乘积不变,乘法结合律,三个数相乘，先把前两个数相乘，或者先把后两个数相乘，积不变,\( (a \times b) \times c = a \times (b \times c) \)
知识点_小学,等式基本性质两边加减乘除非零同一个数成立,等式的基本性质,等式两边同时加减、乘除（非零）同一个数，等式仍成立,
知识点_小学,一元一次方程解方程移项合并同类项,一元一次方程,学习解一元一次方程的步骤（移项、合并同类项）,
知识点_小学,列方程解应用题方程行程问题购物问题,列方程解应用题,将实际问题转化为方程，如行程问题、购物问题,
知识点_小学,简易字母数量关系长方形周长面积,简易代数式,用字母表示数量关系，如长方形的周长 \( C = 2(a + b) \)，面积 \( S = ab \) ,
知识点_小学,求值字母已知\(a=3\)\(2a+4\),简单代数式求值,已知字母的值，求代数式的值，如已知 \( a = 3 \)，求 \( 2a + 4 \) 的值,
知识点_小学,题目描述,题目,描述,公式
知识点_小学,整数正整数负整数零,整数的概念,整数包括正整数、负整数和零。,
知识点_小学,自然数计数正整数,自然数,自然数是用于计数的数，包括0和正整数。,
知识点_小学,计数单位个十百千万进率,计数单位,计数单位包括个、十、百、千、万等，每相邻两个计数单位之间的进率是10。,
知识点_小学,数位数字位置个位十位百位,数位,数位是数字在数中的位置，如个位、十位、百位等。,
知识点_小学,整数整除倍数因数,整数的整除,如果整数a能被整数b整除，那么a是b的倍数，b是a的因数。,
知识点_小学,倍数因数无限最小倍数本身有限最小因数最大因数,倍数和因数,一个数的倍数是无限的，最小的倍数是它本身；一个数的因数是有限的，最小的因数是1，最大的因数是它本身。,
知识点_小学,质数合数因数,质数和合数,质数只有1和它本身两个因数，合数有多个因数。,
知识点_小学,分解质因数合数质数乘积,分解质因数,将一个合数表示为几个质数的乘积。,
知识点_小学,公约数最大公约数因数,公约数和最大公约数,几个数共有的因数是它们的公约数，其中最大的是最大公约数。,
知识点_小学,互质数最大公约数,互质数,两个数的最大公约数为1时，它们互质。,
知识点_小学,公倍数最小公倍数共有倍数,公倍数和最小公倍数,几个数共有的倍数是它们的公倍数，其中最小的是最小公倍数。,
知识点_小学,整数四则运算加法减法乘法除法,整数四则运算,包括加法、减法、乘法和除法。,
知识点_小学,小数四则运算加减乘除运算规则,小数四则运算,小数的加减乘除运算规则。,
知识点_小学,分数四则运算加减乘除运算规则,分数四则运算,分数的加减乘除运算规则。,
知识点_小学,数的整除特性235特征,数的整除特性,如能被2、3、5整除的数的特征。,
知识点_小学,数的大小比较整数小数分数,数的大小比较,比较整数、小数和分数的大小。,
知识点_小学,运算定律简便计算,数的简便计算,利用运算定律进行简便计算。,
知识点_小学,数大小关系正数负数大于小于,数的大小关系,如正数大于0，负数小于0等。,
知识点_小学,数的概念温度海拔,数的应用,将数的概念应用于实际问题，如温度、海拔等。,
知识点_小学,小数分数表示形式小于1的数,小数的概念,小数是分数的另一种表示形式，用于表示小于1的数。,
知识点_小学,小数纯小数整数部分,小数的分类,纯小数：整数部分是零的小数，如0.25、0.368。,
知识点_小学,小数加减乘除运算规则,小数的运算,小数的加减乘除运算规则。,
知识点_小学,小数点移动向右一位两位三位扩大0倍00倍000倍向左缩小,小数点的移动,小数点向右移动一位、两位、三位……，小数扩大10倍、100倍、1000倍……；小数点向左移动一位、两位、三位……，小数缩小10倍、100倍、1000倍……,
知识点_小学,分数整体等份一部分,分数的概念,分数表示一个整体被分成若干等份后的一部分。,
知识点_小学,分数小数互化转换,分数与小数的互化,分数可以转换为小数，小数也可以转换为分数。,
知识点_小学,因数倍数有限最小因数最大因数本身无限最小倍数,因数和倍数,一个数的因数是有限的，最小的因数是1，最大的因数是它本身；一个数的倍数是无限的，最小的倍数是它本身。,
知识点_小学,最大公约数最小公倍数公约数公倍数,最大公约数和最小公倍数,几个数共有的因数是它们的公约数，其中最大的是最大公约数；几个数共有的倍数是它们的公倍数，其中最小的是最小公倍数。,
知识点_小学,解方程移项合并同类项,解方程,通过移项、合并同类项等方法求解方程。,
知识点_小学,正比例相关联的量比值,正比例,两种相关联的量，比值一定时成正比例。,y = kx
知识点_小学,反比例相关联的量乘积一定,反比例,两种相关联的量，乘积一定时成反比例。,y = k/x
知识点_小学,比例尺图上距离实际距离,比例尺,图上距离与实际距离的比。,比例尺 = 图上距离 / 实际距离
知识点_小学,比例两个数两个相等,比和比例,比表示两个数之间的关系，比例表示两个比相等的关系。,
知识点_小学,求比值化简前项后项乘除以相同的数零除外,求比值和化简比,求比值是用前项除以后项，化简比是将比的前项和后项都乘或除以相同的数（零除外）。,
知识点_小学,表达式字母表示数,代数表达式,用字母表示数，形成代数表达式。,
知识点_小学,简化合并同类项,代数式的简化,通过合并同类项简化代数式。,
知识点_小学,求值字母值,代数式的求值,已知字母的值，求代数式的值。,
知识点_小学,方程列方程解方程实际问题,代数方程,通过列方程和解方程解决实际问题。,
知识点_小学,函数输入输出关系,代数中的函数,初步理解函数的概念，如输入和输出的关系。,
知识点_小学,比例比例关系正比例反比例,代数中的比例和比例关系,理解正比例和反比例的关系。,
知识点_小学,加法交换律结合律乘法交换律结合律分配律,代数中的运算定律,包括加法交换律、结合律，乘法交换律、结合律和分配律。,
知识点_小学,运算定律简便计算,代数中的简便计算,利用运算定律进行简便计算。,
知识点_小学,分数除法数量关系,代数中的数量关系,如比、分数、除法之间的关系。,
知识点_小学,近似值四舍五入法,代数中的求近似值,求一个数的近似值，如四舍五入法。,
知识点_小学,大小比较整数小数分数,代数中的大小比较,比较整数、小数和分数的大小。,
知识点_小学,温度海拔,代数中的应用,将代数知识应用于实际问题，如温度、海拔等。,
知识点_初中,有理数定义加减乘除乘方混合运算温度变化海拔高度,有理数的概念与运算,理解有理数的定义，掌握有理数的加减乘除和乘方规则，以及它们的混合运算。应用于解决实际问题，如温度变化、海拔高度等。,
知识点_初中,合并同类项因式分解简化表达式简化计算解决计算图形周长计算图形面积,代数式的概念及其化简,学习如何合并同类项，如何因式分解，以及如何简化复杂的代数表达式。应用于简化计算和解决实际问题，如计算图形的周长、面积等。,
知识点_初中,方程不等式一元一次方程求解方法移项合并同类项化简一元一次不等式解法同大取大同小取小大小小大中间找大大小小找不到行程问题购物问题,方程与不等式的概念及解法,熟悉一元一次方程的求解方法，包括移项、合并同类项、化简等步骤；了解一元一次不等式的解法，包括同大取大、同小取小、大小小大中间找、大大小小找不到等原则。应用于解决实际问题，如行程问题、购物问题等。,
知识点_初中,函数定义表示性质单调性奇偶性物理学运动规律经济学成本分析,函数的基本概念与性质,理解函数的定义，学会如何表示函数，掌握函数的图像及其性质，如单调性、奇偶性等。应用于解决实际问题，如物理学中的运动规律、经济学中的成本分析等。,
知识点_初中,运算符号字母数量关系总成本总利润,代数式,用运算符号把数或表示数的字母连结而成的式子，叫做代数式。单独的一个数或字母也是代数式。应用于表示数量关系，如计算总成本、总利润等。,
知识点_初中,整式单项式多项式加减乘除运算计算多项式的值,整式,单项式与多项式统称为整式。应用于多项式的加减乘除运算，如计算多项式的值。,
知识点_初中,升幂降幂多项式字母指数从小到大从大到小顺序排列标准化表示,升（降）幂排列,把一个多项式按某一个字母的指数从小到大（或从大到小）的顺序排列起来，叫做把多项式按这个字母升（降）幂排列。应用于多项式的标准化表示。,
